Title,Authors,Year,arXiv ID,BibTeX Key,Summary,Main Research Question,Themes
"The Rise of AI Teammates in Software Engineering (SE) 3.0: How Autonomous Coding Agents Are Reshaping Software Engineering","Hao Li; Haoxiang Zhang; Ahmed E. Hassan",2025,2507.15003,li2025riseaiteammatessoftware,"Foundational paper introducing the SE 3.0 framing and the AIDev dataset: 456,000+ PRs by five autonomous coding agents (OpenAI Codex, Devin, GitHub Copilot, Cursor, Claude Code) across 61,000 repositories and 47,000 developers. Finds agents are faster in time-to-merge but their PRs are accepted less frequently and are structurally simpler, revealing a trust and utility gap.","How do autonomous coding agents operate as teammates in real-world software projects, and how do their pull requests differ from human contributions?","Agents; Dataset; PullRequests"
"SWE-bench: Can Language Models Resolve Real-world Github Issues?","Carlos E. Jimenez; John Yang; Alexander Wettig; Shunyu Yao; Kexin Pei; Ofir Press; Karthik Narasimhan",2024,2310.06770,ICLR2024_edac78c3,"Canonical benchmark sourcing task instances from real Python repositories by linking GitHub issues to the merged PRs that resolved them; models must generate patches evaluated against real tests. At publication the best model (Claude 2) solved only 1.96% of issues, framing the benchmark-to-deployment gap that motivates PR-level research.","Can language models resolve real-world GitHub issues by generating patches that pass a repository's tests?","Benchmark; Agents"
"When AI Teammates Meet Code Review: Collaboration Signals Shaping the Integration of Agent-Authored Pull Requests","Costain Nachuma; Minhaz Zibran",2026,2602.19441,nachuma2026aiteammatesmeetcode,"Logistic regression with repository-clustered standard errors over AIDev shows reviewer engagement is the strongest correlate of merge success, while large change sizes and force pushes lower merge probability. Concludes agents must align with established code review and coordination practices — behave like good open-source citizens, not just good coders.","What collaboration signals determine whether an agent-authored pull request gets merged?","Agents; Review; Social; PullRequests"
"Do Autonomous Agents Contribute Test Code?","Md Mahir Asef Haque; Vaibhav Ingale; Christoph Csallner",2026,2601.03556,haque2026testcode,"First large-scale study of whether agents test their own work, mining the AIDev-pop subset of 33.5k PRs from repositories with 100+ stars. Examines how often agentic PRs include test code, how adoption changes over time, and how testing behavior differs across the five major agents; heterogeneity suggests test discipline is a property of agent design rather than emergent LLM behavior.","How often do autonomous coding agents integrate testing into the pull request lifecycle, and how does this differ across agents and over time?","Agents; Testing; PullRequests"
"Where Do AI Coding Agents Fail?","Not specified in source",2026,2601.15195,wherefail2026agents,"Characterizes not-merged agentic PRs across 33k+ PRs from five agents: documentation, CI, and build-update PRs merge at higher rates while performance and bug-fix contributions show lowest acceptance. Not-merged PRs are larger, touch more files, receive more reviewer revisions, and frequently fail CI — revealing a task-difficulty gradient from peripheral maintenance to semantically deep changes.","What characterizes agentic pull requests that fail to be merged, and on which task types do coding agents struggle most?","Agents; Failures; CI; PullRequests"
"Let's Make Every Pull Request Meaningful","Yoshioka et al.",2026,2601.18749,yoshioka2026meaningful,"Analyzes 40,214 AIDev PRs with 64 features across six families in regression models comparing merge outcomes for human vs agentic PRs and across three AI agents. Finds submitter attributes dominate merge outcomes for both groups, while review-related features have contrasting effects — reputation and trust dynamics carry over and may intensify in the agentic era.","Which features of a pull request and its submitter best explain merge outcomes for human versus agent-authored PRs?","Agents; PullRequests; Social; Metrics"
"AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests","Not specified in source",2026,2604.03551,agenticflict2026,"First resource quantifying integration friction in agentic PRs: 142,652 PRs from 59,412 repositories, deterministic merge simulation on 107,026 of them, identifying 29,609 conflicted PRs (27.67% conflict rate) with 336,380 fine-grained conflict regions across five agents. Suggests agents operating on stale repository snapshots create real coordination costs.","How prevalent and what form do merge conflicts take in pull requests authored by AI coding agents?","Agents; Conflicts; Dataset"
"Security in the Age of AI Teammates","Not specified in source",2026,2601.00477,security2026aiteammates,"Examines security-related development and human oversight in agentic PRs using AIDev's curated subset of 33,596 agent-authored PRs from 2,807 repositories (100+ stars) with enriched artifacts (review comments, decisions, diffs). Asks whether the PR review gate catches security issues in agent code or whether reviewer fatigue erodes that safety net.","Does human code review effectively catch security issues in agent-authored pull requests?","Agents; Security; Review"
"How AI Coding Agents Modify Code","John Ogenrwot; John Businge",2026,,ogenrwot2026modifycode,"MSR '26 paper studying the content of agentic changes — how Copilot, Codex, Claude Code, Cursor, and Devin autonomously generate code, fix bugs, and submit PRs — framing these tools as evolving into active collaborators in SE 3.0. Extends the group's earlier PatchTrack work on ChatGPT's impact on patch decision-making in PRs.","What modification patterns characterize the code changes made by AI coding agents?","Agents; Quality; PullRequests"
"How AI Coding Agents Communicate","Not specified in source",2026,2602.17084,communicate2026agents,"Shows that in AI-generated PRs, how changes are communicated is associated with the review process: structured PR descriptions correlate with faster reviewer responses and shorter completion times. Surfaces per-agent differences in social reception — Claude Code drew longest and most positive comments, Cursor the most negative sentiment.","How does the communication quality of AI-generated pull request descriptions affect the review process?","Agents; Communication; Review; Social"
"Who Writes the Docs in SE 3.0?","Yamasaki et al.",2026,2601.20171,yamasaki2026docs,"Analyzes 1,997 documentation-related PRs by AI agents and humans in AIDev; agents submit substantially more documentation PRs than humans, and agent-authored doc edits are typically integrated with little human follow-up — a quiet quality-assurance risk since docs PRs are perceived as low-stakes and merged fast.","Who authors documentation pull requests in the agentic era, and how much human oversight do agent-written docs receive?","Agents; Documentation; Review"
"Automated Code Review in Practice","Umut Cihan; Vahid Haratian; Arda İçöz; et al.",2024,2412.18531,cihan2024automatedreview,"Industrial field study at Beko of an automated review tool based on Qodo PR-Agent (GPT-4 Turbo) commenting on every PR across 10 projects and 22 repositories. 73.8% of tool comments were accounted for in PRs and developers received it well, though recurring low-value comments caused frustration.","How does an LLM-based automated code review tool affect real industrial pull request workflows and developer behavior?","Review; Industry; Agents"
"From Industry Claims to Empirical Reality: Code Review Agents in Pull Requests","Chowdhury et al.",2026,,chowdhury2026industryclaims,"Skeptical empirical check on autonomous code review agents (CRAs) like CodeRabbit using 3,109 AIDev PRs: CRA-only PRs achieve a 45.20% merge rate — 23.17 points lower than human-only reviews (68.37%) — with higher abandonment; 60.2% of closed CRA-only PRs fall in the 0–30% signal range and 12 of 13 CRAs average below 60% signal ratio.","Do autonomous code review agents provide high-signal feedback, and can they replace human oversight in PR review?","Agents; Review; Failures"
"Rethinking Code Review Workflows with LLM Assistance","Not specified in source",2025,2505.16339,rethinking2025codereview,"Mixed-method industrial study (field study plus field experiment) on positioning LLMs within review workflows. Identifies context switching and insufficient contextual information as key challenges; two prototypes (upfront LLM reviews vs on-demand interaction) with RAG pipelines show AI-led reviews are preferred, conditional on reviewer codebase familiarity and PR severity.","How should LLM assistance be positioned within code review workflows to best support reviewers?","Review; Industry; Agents"
"Code Change Characteristics and Description Alignment: Agentic versus Human PRs","Not specified in source",2026,2601.17627,codechange2026alignment,"Symbol-level comparison of 33,596 agentic vs 6,618 human PRs: agent-introduced symbols are removed sooner (median 3 vs 34 days) and churn more (7.33% vs 4.10%); agents produce stronger commit-level messages (similarity 0.72 vs 0.68) but lag in PR-level summarization, indicating strong local reasoning but weak whole-changeset synthesis.","How do agentic PRs differ from human PRs in code change structure, durability, and description alignment?","Agents; Quality; Communication; PullRequests"
"Ordinal Analysis of Behavioral Data (Handbook of Psychology, Chapter 25)","Jeffrey D. Long; Du Feng; Norman Cliff",2003,,long2003ordinal,"Handbook chapter on ordinal statistical methods for behavioral data, including Cliff's delta as a non-parametric effect size measure for comparing two groups without distributional assumptions. Cited as the methodological source for computing Cliff's delta.","How can ordinal statistical methods robustly quantify differences between groups of behavioral data?","Statistics; Methodology"
"On a Test of Whether one of Two Random Variables is Stochastically Larger than the Other","H. B. Mann; D. R. Whitney",1947,,mann1947test,"Classic statistics paper introducing the Mann-Whitney U test, a non-parametric test of whether one of two random variables is stochastically larger than the other. Cited as the methodological source for distribution comparison at α = 0.05.","How can one test whether one random variable is stochastically larger than another without assuming normality?","Statistics; Methodology"
"Designite: A Software Design Quality Assessment Tool","Tushar Sharma; Pratibha Mishra; Rohit Tiwari",2016,,Sharma2016,"Tool paper (BRIDGE '16) presenting Designite, a software design quality assessment tool. Its Python variant DPy detects architecture, design, implementation, and ML-specific smells and computes object-oriented metrics (size, complexity, coupling, cohesion, inheritance depth); used in this project for before/after code quality analysis.","How can automated static analysis assess software design quality through smells and object-oriented metrics?","Tooling; Quality; Smells; Metrics"
"An Exploratory Study of the Pull-Based Software Development Model","Georgios Gousios; Martin Pinzger; Arie van Deursen",2014,,gousios2014exploratory,"Foundational ICSE 2014 study of pull-based development on GitHub, establishing canonical PR metrics (churn, commits, files changed, team size, project age, test coverage density) and models of PR acceptance and latency. Source of the [G14] metric family used throughout the codebook.","What factors affect the decision to accept a pull request and the time to process it in pull-based development?","PullRequests; Metrics"
"Work Practices and Challenges in Pull-Based Development: The Integrator's Perspective","Georgios Gousios; Andy Zaidman; Margaret-Anne Storey; Arie van Deursen",2015,,gousios2015integrator,"ICSE 2015 survey of integrators in pull-based projects, documenting how maintainers evaluate contributions, prioritize work, and struggle with review workload and quality assessment. Source of the rework metric [G15].","How do integrators of pull-based software projects evaluate contributions and what challenges do they face?","PullRequests; Review"
"Influence of Social and Technical Factors for Evaluating Contribution in GitHub","Jason Tsay; Laura Dabbish; James Herbsleb",2014,,tsay2014influence,"ICSE 2014 study showing PR acceptance depends on both technical factors (test inclusion) and social factors (follower count, social connection between submitter and core team, prior interaction). Source of [T14] metrics: num_participants, social_strength, followers.","How do social and technical factors jointly influence the evaluation of contributions on GitHub?","PullRequests; Social; Metrics"
"Wait for It: Determinants of Pull Request Evaluation Latency on GitHub","Yue Yu; Huaimin Wang; Vladimir Filkov; Premkumar Devanbu; Bogdan Vasilescu",2015,,yu2015waitforit,"MSR 2015 study of what determines PR evaluation latency: description length, @-mentions, CI latency, and first response time are key predictors. Source of [Y15] metrics.","What factors determine how long pull requests wait before being evaluated on GitHub?","PullRequests; Metrics; CI"
"Quality and Productivity Outcomes Relating to Continuous Integration in GitHub","Bogdan Vasilescu; Yue Yu; Huaimin Wang; Premkumar Devanbu; Vladimir Filkov",2015,,vasilescu2015quality,"ESEC/FSE 2015 study showing CI adoption changes team productivity and quality outcomes in GitHub projects: teams using CI merge more external PRs while maintaining quality. Source of [V15] metrics: ci_exists, ci_test_passed.","How does continuous integration adoption affect quality and productivity outcomes in GitHub projects?","CI; PullRequests; Quality"
"Investigating Technical and Non-Technical Factors Influencing Modern Code Review","Olga Baysal; Oleksii Kononenko; Reid Holmes; Michael W. Godfrey",2016,,baysal2016investigating,"EMSE study showing non-technical factors — including organizational affiliation of author and reviewer — significantly influence code review outcomes and timeliness. Source of [B16] affiliation metrics.","What technical and non-technical factors influence the outcome and speed of modern code review?","Review; Social; Metrics"
"Gender Differences and Bias in Open Source: Pull Request Acceptance of Women Versus Men","Josh Terrell; Andrew Kofink; Justin Middleton; Clarissa Rainear; Emerson Murphy-Hill; Chris Parnin; Jon Stallings",2017,,terrell2017gender,"PeerJ CS study of gender bias in open source: women's PRs are accepted at higher rates overall, but at lower rates than men's when gender is identifiable and they are outsiders. Source of the contrib_gender inference methodology [TR17].","Does gender bias affect pull request acceptance rates in open source software development?","Bias; Social; PullRequests"
"When Do Changes Induce Fixes?","Jacek Śliwerski; Thomas Zimmermann; Andreas Zeller",2005,,sliwerski2005changes,"MSR 2005 paper introducing the SZZ algorithm for linking fixes to fix-inducing changes; finds changes made on Fridays are more error-prone (the 'Friday effect'). Source of [S05] friday_effect metric.","How can fix-inducing changes be identified, and when are code changes most likely to introduce defects?","Defects; Metrics"
"Pull Request Latency Explained: An Empirical Overview","Xunhui Zhang; Yue Yu; Georgios Gousios; Ayushi Rastogi",2022,,zhang2022latency,"EMSE 2022 large-scale empirical overview of PR latency, synthesizing and validating predictors across many projects. Source of the extensive [Z22] metric family (bug_fix, hash_tag, reopen_or_not, first_pr, integrator_availability, etc.).","Which factors best explain pull request latency across a large and diverse set of projects?","PullRequests; Metrics"
"A Complexity Measure","Thomas J. McCabe",1976,,mccabe1976complexity,"IEEE TSE classic introducing cyclomatic complexity, a graph-theoretic measure of the number of linearly independent paths through a program's control flow. Source of the cyclomatic_complexity metric [M76].","How can program control-flow complexity be quantified to guide testing and modularization?","Complexity; Metrics"
"Elements of Software Science","Maurice H. Halstead",1977,,halstead1977elements,"Book establishing Halstead software science metrics — vocabulary, length, and volume (V = N·log2(n)) — computed from operator and operand counts. Source of the halstead_volume metric [HA77].","Can software properties be measured quantitatively from counts of operators and operands in code?","Complexity; Metrics"
"A Critique of Cyclomatic Complexity as a Software Metric","Martin Shepperd",1988,,shepperd1988critique,"Software Engineering Journal critique showing cyclomatic complexity correlates strongly with lines of code and questioning its independent value as a complexity metric. Cited [SH88] as a caveat on complexity metrics.","Is cyclomatic complexity a valid and useful software metric independent of program size?","Complexity; Metrics; Methodology"
"The Effect of Nesting Depth on Program Comprehension","H. E. Dunsmore",1984,,dunsmore1984nesting,"JSS study of how control-structure nesting depth affects programmer comprehension, motivating nesting depth as a complexity indicator. Source of the nesting_depth metric [D84].","How does the nesting depth of control structures affect program comprehension?","Complexity; Comprehension"
"Refactoring: Improving the Design of Existing Code","Martin Fowler",1999,,fowler1999refactoring,"Classic book cataloguing refactorings and code smells, including Large Class and Long Method, which underpin the design-smell detection metrics [F99].","How can existing code be systematically restructured to improve design without changing behavior?","Refactoring; Smells; Quality"
"Use of Relative Code Churn Measures to Predict System Defect Density","Nachiappan Nagappan; Thomas Ball",2005,,nagappan2005churn,"ICSE 2005 study showing relative code churn measures are strong predictors of system defect density in large systems. Source of the codechurn metric [N05].","Can relative code churn measures predict the defect density of a software system?","Defects; Metrics"
"Using Static Analysis to Find Bugs","Nathaniel Ayewah; William Pugh; David Hovemeyer; J. David Morgenthaler; John Penix",2008,,ayewah2008staticanalysis,"IEEE Software paper on FindBugs-style static analysis for defect detection, including patterns such as unused variables. Source of the unused_vars metric [AY08].","How effective is static analysis at finding real bugs in production software?","Tooling; Defects; Quality"
"Comparison and Evaluation of Code Clone Detection Techniques and Tools","Chanchal K. Roy; James R. Cordy; Rainer Koschke",2009,,roy2009clones,"Science of Computer Programming survey comparing code clone detection techniques and tools across clone types. Source of the duplicate_code metric [RC09].","How do code clone detection techniques and tools compare in capability and accuracy?","Tooling; Quality"
"Tracking Design Smells: Lessons from a Study of God Classes","Stéphane Vaucher; Foutse Khomh; Naouel Moha; Yann-Gaël Guéhéneuc",2009,,vaucher2009godclasses,"WCRE 2009 study tracking God Classes over software evolution, distinguishing classes born as God Classes from those that degrade into them. Source of the god_object metric [VA09].","How do God Classes emerge and evolve over the lifetime of software systems?","Smells; Quality"
"On the Naturalness of Software","Abram Hindle; Earl T. Barr; Zhendong Su; Mark Gabel; Premkumar Devanbu",2012,,hindle2012naturalness,"ICSE 2012 landmark showing software is highly repetitive and predictable, capturable by n-gram language models — foundational for statistical and ML models of code. Source of the ngrams textual feature [H12].","Is software 'natural' — statistically repetitive and predictable enough to be modeled with language models?","NLP; Metrics"
